Rank,Name,Platform,Genre,Year,NA_Sales,EU_Sales,JP_Sales
1,Wii Sports,Wii,Sports,2006.0,41.49,29.02,3.77
2,Super Mario Bros.,NES,Platform,1985.0,29.08,3.58,6.81
3,Mario Kart Wii,Wii,Racing,2008.0,15.85,12.88,3.79
4,Wii Sports Resort,Wii,Sports,2009.0,15.75,11.01,3.28
5,Pokemon Red/Pokemon Blue,GB,Role-Playing,1996.0,11.27,8.89,10.22
6,Tetris,GB,Puzzle,1989.0,23.2,2.26,4.22
7,New Super Mario Bros.,DS,Platform,2006.0,11.38,9.23,6.5
8,Wii Play,Wii,Misc,2006.0,14.03,9.2,2.93
9,New Super Mario Bros. Wii,Wii,Platform,2009.0,14.59,7.06,4.7
10,Duck Hunt,NES,Shooter,1984.0,26.93,0.63,0.28
11,Nintendogs,DS,Simulation,2005.0,9.07,11.0,1.93
12,Mario Kart DS,DS,Racing,2005.0,9.81,7.57,4.13
13,Pokemon Gold/Pokemon Silver,GB,Role-Playing,1999.0,9.0,6.18,7.2
14,Wii Fit,Wii,Sports,2007.0,8.94,8.03,3.6
15,Wii Fit Plus,Wii,Sports,2009.0,9.09,8.59,2.53
16,Kinect Adventures!,X360,Misc,2010.0,14.97,4.94,0.24
17,Grand Theft Auto V,PS3,Action,2013.0,7.01,9.27,0.97
18,Grand Theft Auto: San Andreas,PS2,Action,2004.0,9.43,0.4,0.41
19,Super Mario World,SNES,Platform,1990.0,12.78,3.75,3.54
20,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,2005.0,4.75,9.26,4.16
21,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,2006.0,6.42,4.52,6.04
22,Super Mario Land,GB,Platform,1989.0,10.83,2.71,4.18
23,Super Mario Bros. 3,NES,Platform,1988.0,9.54,3.44,3.84
24,Grand Theft Auto V,X360,Action,2013.0,9.63,5.31,0.06
25,Grand Theft Auto: Vice City,PS2,Action,2002.0,8.41,5.49,0.47
26,Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,2002.0,6.06,3.9,5.38
27,Pokemon Black/Pokemon White,DS,Role-Playing,2010.0,5.57,3.28,5.65
28,Brain Age 2: More Training in Minutes a Day,DS,Puzzle,2005.0,3.44,5.36,5.32
29,Gran Turismo 3: A-Spec,PS2,Racing,2001.0,6.85,5.09,1.87
30,Call of Duty: Modern Warfare 3,X360,Shooter,2011.0,9.03,4.28,0.13
31,Pokémon Yellow: Special Pikachu Edition,GB,Role-Playing,1998.0,5.89,5.04,3.12
32,Call of Duty: Black Ops,X360,Shooter,2010.0,9.67,3.73,0.11
33,Pokemon X/Pokemon Y,3DS,Role-Playing,2013.0,5.17,4.05,4.34
34,Call of Duty: Black Ops 3,PS4,Shooter,2015.0,5.77,5.81,0.35
35,Call of Duty: Black Ops II,PS3,Shooter,2012.0,4.99,5.88,0.65
36,Call of Duty: Black Ops II,X360,Shooter,2012.0,8.25,4.3,0.07
37,Call of Duty: Modern Warfare 2,X360,Shooter,2009.0,8.52,3.63,0.08
38,Call of Duty: Modern Warfare 3,PS3,Shooter,2011.0,5.54,5.82,0.49
39,Grand Theft Auto III,PS2,Action,2001.0,6.99,4.51,0.3
40,Super Smash Bros. Brawl,Wii,Fighting,2008.0,6.75,2.61,2.66
41,Call of Duty: Black Ops,PS3,Shooter,2010.0,5.98,4.44,0.48
42,Animal Crossing: Wild World,DS,Simulation,2005.0,2.55,3.52,5.33
43,Mario Kart 7,3DS,Racing,2011.0,4.74,3.91,2.67
44,Halo 3,X360,Shooter,2007.0,7.97,2.83,0.13
45,Grand Theft Auto V,PS4,Action,2014.0,3.8,5.81,0.36
46,Pokemon HeartGold/Pokemon SoulSilver,DS,Action,2009.0,4.4,2.77,3.96
47,Super Mario 64,N64,Platform,1996.0,6.91,2.85,1.91
48,Gran Turismo 4,PS2,Racing,2004.0,3.01,0.01,1.1
49,Super Mario Galaxy,Wii,Platform,2007.0,6.16,3.4,1.2
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,2014.0,4.23,3.37,3.08
51,Super Mario Land 2: 6 Golden Coins,GB,Adventure,1992.0,6.16,2.04,2.69
52,Grand Theft Auto IV,X360,Action,2008.0,6.76,3.1,0.14
53,Gran Turismo,PS,Racing,1997.0,4.02,3.87,2.54
54,Super Mario 3D Land,3DS,Platform,2011.0,4.89,2.99,2.13
55,Gran Turismo 5,PS3,Racing,2010.0,2.96,4.88,0.81
56,Call of Duty: Modern Warfare 2,PS3,Shooter,2009.0,4.99,3.69,0.38
57,Grand Theft Auto IV,PS3,Action,2008.0,4.76,3.76,0.44
58,Super Mario All-Stars,SNES,Platform,1993.0,5.99,2.15,2.12
59,Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,2004.0,4.34,2.65,3.15
60,Super Mario 64,DS,Platform,2004.0,5.08,3.11,1.25
61,Just Dance 3,Wii,Misc,2011.0,6.05,3.15,0.0
62,Call of Duty: Ghosts,X360,Shooter,2013.0,6.72,2.63,0.04
63,Halo: Reach,X360,Shooter,2010.0,7.03,1.98,0.08
64,Mario Kart 64,N64,Racing,1996.0,5.55,1.94,2.23
65,New Super Mario Bros. 2,3DS,Platform,2012.0,3.66,3.07,2.47
66,Halo 4,X360,Shooter,2012.0,6.63,2.36,0.04
67,Final Fantasy VII,PS,Role-Playing,1997.0,3.01,2.47,3.28
68,Call of Duty: Ghosts,PS3,Shooter,2013.0,4.09,3.73,0.38
69,Just Dance 2,Wii,Misc,2010.0,5.84,2.89,0.01
70,Gran Turismo 2,PS,Racing,1999.0,3.88,3.42,1.69
71,Call of Duty 4: Modern Warfare,X360,Shooter,2007.0,5.91,2.38,0.13
72,Donkey Kong Country,SNES,Platform,1994.0,4.36,1.71,3.0
73,Minecraft,X360,Misc,2013.0,5.58,2.83,0.02
74,Animal Crossing: New Leaf,3DS,Simulation,2012.0,2.01,2.32,4.36
75,Mario Party DS,DS,Misc,2007.0,4.46,1.88,1.98
76,The Elder Scrolls V: Skyrim,X360,Role-Playing,2011.0,5.03,2.86,0.1
77,Super Mario Kart,SNES,Racing,1992.0,3.54,1.24,3.81
78,FIFA 16,PS4,Sports,2015.0,1.11,6.06,0.06
79,Wii Party,Wii,Misc,2010.0,1.79,3.53,2.49
80,Halo 2,XB,Shooter,2004.0,6.82,1.53,0.05
81,Mario Party 8,Wii,Misc,2007.0,3.81,2.3,1.58
82,Pokemon Black 2/Pokemon White 2,DS,Role-Playing,2012.0,2.91,1.86,3.14
83,FIFA Soccer 13,PS3,Action,2012.0,1.06,5.05,0.13
84,The Sims 3,PC,Simulation,2009.0,0.98,6.42,0.0
85,GoldenEye 007,N64,Shooter,1997.0,5.8,2.01,0.13
86,Mario & Sonic at the Olympic Games,Wii,Sports,2007.0,2.58,3.9,0.66
87,Final Fantasy X,PS2,Role-Playing,2001.0,2.91,2.07,2.73
88,Final Fantasy VIII,PS,Role-Playing,1999.0,2.28,1.72,3.63
89,Pokémon Platinum Version,DS,Role-Playing,2008.0,2.82,1.78,2.69
